,Hot Reservoir,Hot in,Hot mid,Hot out,Cold out,Cold mid,Cold in,Hot Flow,Cold Flow
Flow,ST-16,ST-1,ST-2,ST-3,ST-4,ST-5,ST-6,SC-1,SC-2
Direction,C,C,C,C,C,C,C,l/min,l/min
Counter-Current,44.9,41,39.7,38.6,31.4,29.9,29.5,1.4,2.2
Counter-Current,49.8,45.4,43.3,41.8,32.1,30.2,29.5,1.4,2.2
Counter-Current,54.6,49.4,46.8,44.8,32.8,30.5,29.5,1.4,2.2
Counter-Current,59.7,54.1,50.6,48.2,33.7,31,29.5,1.4,2.2
Counter-Current,59.7,53.8,49.2,47.7,33.2,30.6,29.5,1.0,2.2
Counter-Current,59.9,54.1,50.2,48.1,33.5,30.8,29.5,1.2,2.2
Counter-Current,59.4,54.3,50.8,48.3,33.8,30.9,29.5,1.4,2.2
Counter-Current,59.9,54.4,50.9,48.5,34,31.1,29.4,1.4,2.0
Counter-Current,59.9,54.4,51.1,48.6,34.5,31.3,29.4,1.4,1.8
Counter-Current,59.5,54.1,50.5,48.1,33.4,30.8,29.6,1.4,2.4
Counter-Current,59.4,54.1,50.5,48.1,33.3,30.7,29.6,1.4,2.7
Parallel,44.8,41.3,39.8,39.0,29.6,30.0,31.3,1.4,2.2
Parallel,50.0,45.7,43.5,42.2,29.8,30.6,32.2,1.4,2.2
Parallel,54.8,49.1,46.4,44.7,29.8,31.0,32.8,1.4,2.2
Parallel,59.5,53.9,50.3,48.1,29.9,31.6,33.7,1.3,2.2
Parallel,59.7,54.0,49.6,48.2,29.9,31.4,33.4,1.2,2.2
Parallel,59.5,54.1,50.3,48.4,29.9,31.6,33.6,1.3,2.2
Parallel,59.6,54.3,50.6,48.5,29.8,31.6,33.7,1.4,2.2
Parallel,59.9,54.4,50.7,48.8,29.8,31.8,34.0,1.4,2
Parallel,59.9,54.4,50.9,49.0,29.9,32.3,34.5,1.4,1.8
Parallel,59.7,54.3,50.5,48.4,30.1,31.5,33.5,1.4,2.5
Parallel,59.5,54.2,50.3,48.2,30.0,31.4,33.3,1.4,2.7
,,,,,,,,,
Error,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1